split,period_id,jurisdiction,txt_crisis,txt_alert,txt_action,txt_len,txt_has_release,txt_risk_class
train,OqDkgaDk,AK,2,0,9,67,1,ACTION
train,OqDkgaDk,AL,0,0,0,0,0,UNKNOWN
train,OqDkgaDk,AR,0,0,0,0,0,UNKNOWN
train,OqDkgaDk,AZ,4,0,8,102,1,ACTION
train,OqDkgaDk,CA,3,1,4,72,1,ACTION
train,OqDkgaDk,CO,0,0,0,0,0,UNKNOWN
train,OqDkgaDk,CT,0,0,0,0,0,UNKNOWN
train,OqDkgaDk,DC,13,4,6,177,1,CRISIS
train,OqDkgaDk,DE,7,11,2,146,1,ALERT
train,OqDkgaDk,FL,4,0,3,81,1,CRISIS
train,OqDkgaDk,GA,5,7,2,95,1,ALERT
train,OqDkgaDk,HI,4,0,3,81,1,CRISIS
train,OqDkgaDk,IA,6,2,14,157,1,ACTION
train,OqDkgaDk,ID,4,1,3,81,1,CRISIS
train,OqDkgaDk,IL,7,1,9,141,1,ACTION
train,OqDkgaDk,IN,15,4,4,162,1,CRISIS
train,OqDkgaDk,KS,1,8,0,67,1,ALERT
train,OqDkgaDk,KY,4,0,4,85,1,CRISIS
train,OqDkgaDk,LA,0,0,0,0,0,UNKNOWN
train,OqDkgaDk,MA,0,0,0,0,0,UNKNOWN
train,OqDkgaDk,MD,10,0,7,168,1,CRISIS
train,OqDkgaDk,ME,5,7,3,98,1,ALERT
train,OqDkgaDk,MI,0,0,0,0,0,UNKNOWN
train,OqDkgaDk,MN,0,0,0,0,0,UNKNOWN
train,OqDkgaDk,MO,4,1,4,82,1,CRISIS
train,OqDkgaDk,MS,1,8,0,67,1,ALERT
train,OqDkgaDk,MT,0,0,0,0,0,UNKNOWN
train,OqDkgaDk,NC,0,0,0,0,0,UNKNOWN
train,OqDkgaDk,ND,5,0,15,167,1,ACTION
train,OqDkgaDk,NE,4,1,4,82,1,CRISIS
train,OqDkgaDk,NH,7,15,4,172,1,ALERT
train,OqDkgaDk,NJ,11,4,12,165,1,ACTION
train,OqDkgaDk,NM,1,8,0,68,1,ALERT
train,OqDkgaDk,NV,9,0,13,158,1,ACTION
train,OqDkgaDk,NY,13,4,12,255,1,CRISIS
train,OqDkgaDk,OH,11,8,7,193,1,CRISIS
train,OqDkgaDk,OK,0,0,0,0,0,UNKNOWN
train,OqDkgaDk,OR,0,0,0,0,0,UNKNOWN
train,OqDkgaDk,PA,17,5,9,254,1,CRISIS
train,OqDkgaDk,RI,12,7,3,167,1,CRISIS
train,OqDkgaDk,SC,3,0,6,63,1,ACTION
train,OqDkgaDk,SD,7,11,2,147,1,ALERT
train,OqDkgaDk,TN,4,0,6,100,1,ACTION
train,OqDkgaDk,TX,0,0,0,0,0,UNKNOWN
train,OqDkgaDk,UT,3,0,11,87,1,ACTION
train,OqDkgaDk,VA,5,7,2,94,1,ALERT
train,OqDkgaDk,VT,10,15,12,244,1,ALERT
train,OqDkgaDk,WA,0,0,0,0,0,UNKNOWN
train,OqDkgaDk,WI,0,0,0,0,0,UNKNOWN
train,OqDkgaDk,WV,2,0,9,72,1,ACTION
train,OqDkgaDk,WY,12,3,3,146,1,CRISIS
train,44RA6kMl,AK,0,0,0,0,0,UNKNOWN
train,44RA6kMl,AL,0,0,0,0,0,UNKNOWN
train,44RA6kMl,AR,3,2,2,67,1,CRISIS
train,44RA6kMl,AZ,4,10,4,134,1,ALERT
train,44RA6kMl,CA,0,0,0,0,0,UNKNOWN
train,44RA6kMl,CO,0,0,0,0,0,UNKNOWN
train,44RA6kMl,CT,0,0,0,0,0,UNKNOWN
train,44RA6kMl,DC,12,15,5,244,1,ALERT
train,44RA6kMl,DE,6,7,2,95,1,ALERT
train,44RA6kMl,FL,0,0,0,0,0,UNKNOWN
train,44RA6kMl,GA,3,1,4,70,1,ACTION
train,44RA6kMl,HI,0,0,0,0,0,UNKNOWN
train,44RA6kMl,IA,7,1,16,161,1,ACTION
train,44RA6kMl,ID,6,7,2,96,1,ALERT
train,44RA6kMl,IL,0,0,0,0,0,UNKNOWN
train,44RA6kMl,IN,0,0,0,0,0,UNKNOWN
train,44RA6kMl,KS,3,0,6,62,1,ACTION
train,44RA6kMl,KY,10,8,8,172,1,CRISIS
train,44RA6kMl,LA,3,1,4,70,1,ACTION
train,44RA6kMl,MA,1,8,0,67,1,ALERT
train,44RA6kMl,MD,2,0,9,67,1,ACTION
train,44RA6kMl,ME,6,0,2,71,1,CRISIS
train,44RA6kMl,MI,3,1,5,72,1,ACTION
train,44RA6kMl,MN,7,3,6,137,1,CRISIS
train,44RA6kMl,MO,0,0,0,0,0,UNKNOWN
train,44RA6kMl,MS,0,0,0,0,0,UNKNOWN
train,44RA6kMl,MT,0,0,0,0,0,UNKNOWN
train,44RA6kMl,NC,0,0,0,0,0,UNKNOWN
train,44RA6kMl,ND,0,0,0,0,0,UNKNOWN
train,44RA6kMl,NE,0,0,0,0,0,UNKNOWN
train,44RA6kMl,NH,0,0,0,0,0,UNKNOWN
train,44RA6kMl,NJ,10,7,21,252,1,ACTION
train,44RA6kMl,NM,8,8,6,167,1,CRISIS
train,44RA6kMl,NV,5,2,13,140,1,ACTION
train,44RA6kMl,NY,3,1,4,71,1,ACTION
train,44RA6kMl,OH,3,0,10,84,1,ACTION
train,44RA6kMl,OK,0,0,0,0,0,UNKNOWN
train,44RA6kMl,OR,8,9,4,161,1,ALERT
train,44RA6kMl,PA,3,1,4,71,1,ACTION
train,44RA6kMl,RI,3,1,4,69,1,ACTION
train,44RA6kMl,SC,8,7,11,168,1,ACTION
train,44RA6kMl,SD,3,0,10,86,1,ACTION
train,44RA6kMl,TN,0,0,0,0,0,UNKNOWN
train,44RA6kMl,TX,0,0,0,0,0,UNKNOWN
train,44RA6kMl,UT,3,0,11,87,1,ACTION
train,44RA6kMl,VA,0,0,0,0,0,UNKNOWN
train,44RA6kMl,VT,8,7,12,178,1,ACTION
train,44RA6kMl,WA,0,0,0,0,0,UNKNOWN
train,44RA6kMl,WI,5,7,3,95,1,ALERT
train,44RA6kMl,WV,7,2,7,157,1,CRISIS
train,44RA6kMl,WY,3,0,10,84,1,ACTION
train,7cCeqHbf,AK,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,AL,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,AR,3,2,2,67,1,CRISIS
train,7cCeqHbf,AZ,8,0,12,184,1,ACTION
train,7cCeqHbf,CA,4,8,10,151,1,ACTION
train,7cCeqHbf,CO,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,CT,6,0,6,156,1,CRISIS
train,7cCeqHbf,DC,5,7,2,97,1,ALERT
train,7cCeqHbf,DE,13,5,6,175,1,CRISIS
train,7cCeqHbf,FL,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,GA,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,HI,17,4,6,225,1,CRISIS
train,7cCeqHbf,IA,4,1,4,82,1,CRISIS
train,7cCeqHbf,ID,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,IL,16,5,13,265,1,CRISIS
train,7cCeqHbf,IN,20,5,7,241,1,CRISIS
train,7cCeqHbf,KS,15,4,4,166,1,CRISIS
train,7cCeqHbf,KY,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,LA,6,3,2,78,1,CRISIS
train,7cCeqHbf,MA,9,0,16,240,1,ACTION
train,7cCeqHbf,MD,16,11,14,256,1,CRISIS
train,7cCeqHbf,ME,4,0,8,106,1,ACTION
train,7cCeqHbf,MI,17,4,16,287,1,CRISIS
train,7cCeqHbf,MN,6,1,6,152,1,CRISIS
train,7cCeqHbf,MO,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,MS,19,4,10,266,1,CRISIS
train,7cCeqHbf,MT,4,0,8,108,1,ACTION
train,7cCeqHbf,NC,4,1,4,84,1,CRISIS
train,7cCeqHbf,ND,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,NE,9,4,4,97,1,CRISIS
train,7cCeqHbf,NH,9,4,4,99,1,CRISIS
train,7cCeqHbf,NJ,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,NM,6,1,7,147,1,ACTION
